Subject;Catalog;Descr;Section;Course ID;Exam Date;Start Time;End Time;Facil ID;Exam Type;Tot Enrl;Acad Org;Term
INTL; 308;HIS. POL. THOUGHT;02;001130;12.11.2022;18:15:00;21:15:00;ENGZ27;MID;78;CASE;2221
INTL; 308;HIS. POL. THOUGHT;02;001130;11.12.2022;11:45:00;14:45:00;ENGZ27;MID;78;CASE;2221
INTL; 308;HIS. POL. THOUGHT;02;001130;16.01.2023;08:30:00;11:30:00;SNAB172;FIN;78;CASE;2221
INTL; 308;HIS. POL. THOUGHT;02;001130;16.01.2023;08:30:00;11:30:00;SNAA52;FIN;78;CASE;2221
INTL; 313;INTRO TO GLOBAL POL ECON;01;000413;30.11.2022;19:00:00;22:00:00;SOSB10;MID;46;CASE;2221
INTL; 313;INTRO TO GLOBAL POL ECON;01;000413;30.11.2022;19:00:00;22:00:00;SOSB11;MID;46;CASE;2221
INTL; 313;INTRO TO GLOBAL POL ECON;01;000413;17.01.2023;11:45:00;14:45:00;SNAA21;FIN;46;CASE;2221
INTL; 313;INTRO TO GLOBAL POL ECON;01;000413;17.01.2023;11:45:00;14:45:00;SNAA51;FIN;46;CASE;2221
INTL; 330;INST.& POL. EURO. UNION;01;001312;26.11.2022;11:45:00;14:45:00;SNAB172;MID;52;CASE;2221
INTL; 330;INST.& POL. EURO. UNION;01;001312;19.01.2023;08:30:00;11:30:00;SNA158;FIN;52;CASE;2221
INTL; 330;INST.& POL. EURO. UNION;01;001312;19.01.2023;08:30:00;11:30:00;SNA159;FIN;52;CASE;2221
INTL; 374;INTL. CONFLICT&SECURITY;01;001399;25.01.2023;11:45:00;14:45:00;STD201;FIN;50;CASE;2221
INTL; 380;COMP POL ECON EMER POW;01;000769;28.11.2022;19:00:00;22:00:00;STD201;MID;48;CASE;2221
INTL; 380;COMP POL ECON EMER POW;01;000769;25.01.2023;08:30:00;11:30:00;SNAB172;FIN;48;CASE;2221
INTL; 406;CONTMP.ISSUES IN TURK.POL;01;000831;20.01.2023;15:00:00;18:00:00;ENGB29;FIN;53;CASE;2221
INTL; 406;CONTMP.ISSUES IN TURK.POL;01;000831;20.01.2023;15:00:00;18:00:00;ENGB30;FIN;53;CASE;2221
INTL; 410;POLITICAL ECON. OF TÜRKÝYE;01;000304;23.11.2022;19:00:00;22:00:00;SNA104;MID;12;CASE;2221
INTL; 414;EUROP DIPL&OTTOMAN EMPIRE;01;000999;16.01.2023;15:00:00;18:00:00;SOSB16;FIN;9;CASE;2221
INTL; 414;EUROP DIPL&OTTOMAN EMPIRE;01;000999;16.01.2023;15:00:00;18:00:00;SOSB16;FIN;9;CASE;2221
INTL; 416;COMPARATIVE POL. BEHAVIOR;01;003333;20.01.2023;11:45:00;14:45:00;SNAB152;FIN;14;CASE;2221
INTL; 416;COMPARATIVE POL. BEHAVIOR;01;003333;20.01.2023;11:45:00;14:45:00;SNAB152;FIN;14;CASE;2221
INTL; 422;INTL LAW I;01;004519;24.01.2023;18:15:00;21:15:00;ENGZ50;FIN;7;CASE;2221
INTL; 422;INTL LAW I;01;004519;24.01.2023;18:15:00;21:15:00;ENGZ50;FIN;7;CASE;2221
INTL; 447;EUROPEAN FOREIGN POLICY;01;001192;22.01.2023;11:45:00;14:45:00;SNAB172;FIN;52;CASE;2221
INTL; 451;ST INTL;01;002396;19.01.2023;11:45:00;14:45:00;CASEZ27;FIN;27;CASE;2221
