Component;Subject;Catalog;Section;Course ID;Descr;Tot Enrl;Career;Acad Org;Mon;Tues;Wed;Thurs;Fri;Sat;Sun;Facil ID;Type;Capacity;Mtg Start;Mtg End;Start Date;End Date;Term;Class Nbr;Mode
LEC;INDR; 513;01;000228;ADV. STOCHASTIC PROCESS;11;MAST;GSSE;N;Y;N;Y;N;N;N;SNAA51;LCTR;46;11:30:00;12:45:00;27.02.2023;2.06.2023;2222;1550;P
LEC;INDR; 522;01;004536;DATA SCI. FOR OPERATIONAL DEC.;19;MAST;GSSE;N;Y;N;Y;N;N;N;CASEB24;LCTR;57;16:00:00;17:15:00;27.02.2023;2.06.2023;2222;2352;P
LEC;INDR; 523;01;004557;BAYESIAN DATA ANALYSIS;9;MAST;GSSE;Y;N;Y;N;N;N;N;ENGZ15;LCTR;58;14:30:00;15:45:00;27.02.2023;2.06.2023;2222;2528;P
LEC;INDR; 562;01;001319;INTEGR & COMBINATOR OPT;4;MAST;GSSE;Y;N;Y;N;N;N;N;CASEB38;LCTR;34;13:00:00;14:15:00;27.02.2023;2.06.2023;2222;1551;P
LEC;INDR; 568;01;001127;HEURISTIC METHODS;7;MAST;GSSE;Y;N;Y;N;N;N;N;SCI129;LCTR;44;11:30:00;12:45:00;27.02.2023;2.06.2023;2222;1552;P
LEC;INDR; 573;01;001041;FINANCIAL ENGINEERING;8;MAST;GSSE;N;Y;N;Y;N;N;N;SOSB07;LCTR;107;13:00:00;14:15:00;27.02.2023;2.06.2023;2222;1554;P
LEC;INDR; 584;01;001552;LOGISTICS MANAGEMENT;2;MAST;GSSE;Y;N;Y;N;N;N;N;SNA157;LCTR;49;10:00:00;11:15:00;27.02.2023;2.06.2023;2222;1555;P
PRB;INDR; 584;PSA;001552;LOGISTICS MANAGEMENT;2;MAST;GSSE;N;N;Y;N;N;N;N;SNA158;LCTR;70;17:30:00;18:45:00;27.02.2023;2.06.2023;2222;1556;P
SEM;INDR; 590;01;002039;SEMINAR;8;MAST;GSSE;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;3037;P
THE;INDR; 595;01;001595;MASTER THESIS;0;MAST;GSSE;N;N;N;N;N;N;N;;;0;00:00:00;00:00:00;27.02.2023;2.06.2023;2222;3031;P
THE;INDR; 595;02;001595;MASTER THESIS;5;MAST;GSSE;N;N;N;N;N;N;N;;;0;00:00:00;00:00:00;27.02.2023;2.06.2023;2222;3032;P
THE;INDR; 595;03;001595;MASTER THESIS;1;MAST;GSSE;N;N;N;N;N;N;N;;;0;00:00:00;00:00:00;27.02.2023;2.06.2023;2222;3033;P
THE;INDR; 595;04;001595;MASTER THESIS;0;MAST;GSSE;N;N;N;N;N;N;N;;;0;00:00:00;00:00:00;27.02.2023;2.06.2023;2222;3034;P
THE;INDR; 595;05;001595;MASTER THESIS;2;MAST;GSSE;N;N;N;N;N;N;N;;;0;00:00:00;00:00:00;27.02.2023;2.06.2023;2222;3028;P
THE;INDR; 595;06;001595;MASTER THESIS;2;MAST;GSSE;N;N;N;N;N;N;N;;;0;00:00:00;00:00:00;27.02.2023;2.06.2023;2222;3029;P
THE;INDR; 595;07;001595;MASTER THESIS;0;MAST;GSSE;N;N;N;N;N;N;N;;;0;00:00:00;00:00:00;27.02.2023;2.06.2023;2222;3030;P
THE;INDR; 595;08;001595;MASTER THESIS;2;MAST;GSSE;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;3035;P
THE;INDR; 595;09;001595;MASTER THESIS;0;MAST;GSSE;N;N;N;N;N;N;N;;;0;;;27.02.2023;2.06.2023;2222;3036;P
LEC;INTL; 101;01;001433;INTRO POL SCIE;50;UGRD;CASE;N;Y;N;Y;N;N;N;ENGB30;LCTR;65;13:00:00;14:15:00;27.02.2023;2.06.2023;2222;1232;P
